output_0,output_1,output_2,output_3,output_4
5.6276183,3.7411625,3.7097318,6.60108,3.9790792
2.711633,2.5893545,2.0476027,2.0628235,2.547256
2.6798592,2.2479782,2.8628936,2.2985325,2.2125244
4.9650197,5.0441613,4.760175,4.760295,4.825548
5.3365774,5.5091367,5.3336754,5.408973,5.4239445
5.4219117,5.238924,5.1230497,5.078854,5.245348
7.557991,7.032679,6.955707,7.0089173,7.4892855
2.0654876,2.0011938,1.2208003,2.1419616,2.0194914
5.2330375,5.2330256,5.0854044,5.535495,5.126725
6.9591465,6.7765207,6.6842623,7.280412,7.3839655
5.48057,5.892063,5.0763288,7.1309915,4.0172005
4.9993978,5.0061436,5.116417,5.2939644,5.1410885
5.301633,4.843997,5.649168,5.199996,5.385079
4.1635714,5.0575547,4.2448144,4.451553,7.1694627
6.277964,6.250045,6.5035243,6.243559,6.016193
4.628703,5.0318923,4.8985143,4.9343967,4.789748
1.566391,1.4383515,1.5595946,1.6226856,1.6046497
2.69775,2.8165805,2.7850845,2.7252657,2.765236
2.788948,1.5082937,1.5220822,1.376557,2.8212533
2.4430535,2.390416,2.526591,2.781325,2.5850866
4.0670753,3.551579,3.4149818,3.7749908,5.79782
2.3780208,1.4449084,2.521728,2.4886582,1.5486563
2.3716447,2.585347,2.6423314,2.6059916,2.5406337
5.261853,5.187255,5.496968,5.3494587,5.271364
3.1722693,3.1462388,2.564429,2.7239585,3.127855
5.9193444,4.8789907,4.957702,5.2219195,4.859037
1.9985374,2.705792,2.3038788,2.8681755,2.4397118
4.951004,5.4091034,4.835337,4.7670465,5.198262
1.3136735,1.3685176,1.4438891,2.1221619,1.3339959
4.6992683,5.0353684,5.1179338,4.9010305,4.990217
6.708431,6.789253,2.1024206,1.9836816,2.3085053
5.3062263,5.400374,5.261227,4.85905,4.6777325
2.0853138,1.9794388,1.9566321,1.8925204,1.9089184
3.0100029,2.290706,3.043532,2.3032794,2.2657704
6.916913,6.8856587,6.7936807,6.8874974,6.8065286
7.159151,7.4462166,7.4250073,7.605157,7.417555
4.7252674,4.863488,4.662116,4.7894793,5.177998
5.21814,5.01856,5.2368307,5.2977486,5.0914392
7.8378196,4.4244933,7.445459,7.7042966,7.9248023
5.2071695,5.24603,5.190139,5.155343,5.116279
2.601812,2.627201,2.5412438,2.6276135,2.2144902
5.1148286,5.3741093,5.333006,5.291773,5.276897
4.800441,4.93466,4.7543516,4.916678,5.0429583
5.1007676,5.2443733,4.9843016,4.960898,5.526967
5.030942,4.8138657,5.2109575,4.938884,4.9743347
1.4243739,2.9309082,2.9212363,1.3494287,2.7334902
6.2426,6.345831,6.0885363,6.264763,6.3790436
6.770997,6.682972,6.462356,6.6365957,6.527711
6.942825,7.0496593,7.619937,7.645366,7.088398
1.1619891,1.2742691,1.36034,2.6018915,2.4275723
2.456319,2.4567401,2.3359973,2.42861,2.4752316
2.1491387,2.3798916,2.7172499,2.316095,2.4907243
5.207588,4.921318,5.404392,4.901231,5.2446384
1.4547131,1.4219003,1.4567368,1.3823292,1.4540086
7.2909784,7.2573013,7.380842,7.9260254,7.0837317
