output_0,output_1,output_2,output_3,output_4
8.038661,2.816462,7.8268876,8.087128,2.3191853
3.2244773,3.4987402,3.5122237,3.5442572,3.2885108
4.047155,3.9657829,4.096006,4.019944,3.7539964
3.1683767,3.1604033,3.314881,2.9740934,2.9866838
1.7800516,1.918602,1.8540549,2.6714876,1.6695181
6.517836,6.689018,6.7377377,6.746667,6.862266
2.9340603,2.8150005,2.8958867,2.8346908,2.7252257
6.576163,6.3160777,6.0951686,6.7551746,6.6693344
3.5189567,3.5269077,3.6187139,3.47086,3.494198
2.5561376,2.3663628,2.478149,2.4936562,2.641616
2.5658844,2.4557443,2.4068792,2.6264253,2.6998665
6.531892,6.606989,7.1843686,7.0947733,6.79239
1.945554,7.131288,2.005471,1.7305416,6.1785407
4.80293,5.075982,4.6327496,4.973872,4.674801
4.434431,5.164718,4.8685427,4.1634345,4.195062
3.6445458,3.4407933,3.1985834,3.1825104,3.2555943
3.9264655,3.5310314,3.423299,4.269557,3.9897103
7.842353,8.460509,8.034789,8.924627,8.213326
4.260788,4.1673193,3.828168,3.773509,3.6688979
5.575466,6.084395,6.249969,5.8375573,2.8218787
2.1717856,2.3397012,2.067076,2.5759392,2.18849
5.4350104,5.398644,5.5635633,5.4515243,5.485803
7.3165636,7.2436934,7.145213,7.500947,7.0448933
6.1219945,6.3226023,5.8694487,6.1044664,5.8648176
2.2877452,2.0190103,2.0350947,2.149922,2.1402571
4.7491493,5.3019624,4.924604,4.494798,4.145565
6.6590424,6.6958885,6.895067,6.702742,6.9254203
5.6244373,5.4305444,5.444174,5.2235312,5.3947268
3.190402,2.9346688,3.391494,3.2575614,3.2291718
6.5968237,6.5346656,6.7706194,6.8937564,6.9650164
2.44003,2.3987184,2.5972376,2.527414,2.6707928
2.6413412,2.6346326,2.4828105,2.2583795,2.753522
2.8207107,2.8058937,2.8300412,3.0605526,2.98567
6.211798,6.276016,6.039875,6.5319643,6.6275597
3.9662597,3.9275458,4.3312526,3.162406,3.7363398
6.8781495,2.761736,2.091477,2.1921773,1.874614
3.7731762,3.716217,4.069667,3.6688998,4.0041986
4.632401,7.1423154,4.2150607,4.622535,4.94405
1.8160468,2.5068362,7.0096774,6.8994775,6.9681206
3.470365,3.2299333,3.4982994,4.311492,3.8666663
1.7500036,2.248795,2.31212,2.5297437,1.883613
5.872415,3.6844451,4.220011,3.6180153,6.8177834
4.4061456,3.9225702,4.3382516,5.118852,3.9146774
4.4218955,4.6188326,1.8790389,2.0609741,1.6347814
5.600299,5.837878,2.5817928,5.823807,5.7971716
4.3888245,7.6711965,4.6332397,5.389923,5.0507536
1.8709375,2.0469635,1.8502647,1.8904289,1.7266263
3.2642796,1.7506843,3.2496939,3.494355,3.4908428
2.589485,1.9602674,1.823628,2.5858028,2.402073
5.0377607,4.4903812,5.3254194,5.020564,5.074517
8.552243,8.387417,8.64626,8.557945,4.031767
6.8427744,7.0170574,6.437139,6.7757516,6.495496
7.400604,7.5610294,7.2646604,7.648966,7.5847077
2.6553824,2.0470421,2.5444977,2.699407,1.8945961
3.1404464,2.9273686,2.9978824,2.7401595,5.3621826
2.8292465,2.6358547,3.5973842,2.851949,2.7460537
2.7790854,2.6949122,4.9592338,5.148231,2.8854022
4.2660284,3.5778198,3.3853302,3.962996,3.5667152
3.5917358,3.6252015,3.6391153,3.622301,3.9169414
3.5423012,3.2670264,3.4145002,3.2847757,2.6186717
3.216006,6.6089835,3.2113242,3.0883489,3.2908292
1.9984459,5.778228,2.0295613,5.115592,5.2169924
5.318461,5.110117,5.09306,5.455543,5.316879
3.22929,5.171167,2.5636897,2.545244,2.752942
2.0729349,1.6585389,1.561558,2.413925,1.6676128
3.3780482,3.4155056,3.2608721,3.5030696,4.7878857
3.1595874,2.986339,3.385144,3.0977564,3.170955
3.0644107,5.532824,5.231282,2.4389923,2.288899
2.09086,2.2831964,2.325908,2.251653,2.1134174
1.4868622,2.1489942,2.3206534,1.7313327,1.8562733
5.540494,2.2731442,5.411264,2.7641172,5.246397
6.0740128,4.0437546,4.4010005,5.807484,6.0463815
5.257883,5.6387563,5.1455665,4.9098706,5.90366
3.446038,3.2396138,3.4526641,3.330307,3.5320332
3.8715062,4.1409864,3.6128743,3.9163508,4.2392344
6.3946595,6.39874,6.20235,6.2345953,6.598671
3.38273,3.3023753,3.5313725,3.871725,3.510263
7.704279,7.8601446,8.253506,7.890482,7.7092867
3.4688256,3.2895057,3.4845908,3.318353,3.4008284
2.717104,2.511534,2.4623525,2.7114522,2.7043495
2.5237248,2.8761153,2.523152,2.083856,1.8045654
2.9922657,3.61764,3.535249,3.4731221,7.6617785
3.027783,4.523487,4.445632,3.3963718,4.5413985
3.247245,3.1574202,3.0092022,3.2919686,3.225422
2.288837,3.283992,2.044517,1.3665863,2.3875484
4.316948,4.068564,4.1712036,4.2503695,4.269275
2.2419264,1.7049365,1.9547106,2.6109693,2.4791327
1.2011462,1.3027173,1.1704688,1.2035046,1.1831479
4.0211725,4.47591,3.834904,3.8737254,3.94586
7.0234537,7.8269653,6.785257,7.461886,6.7329025
2.0372465,2.139281,2.3169596,4.1416345,3.9767754
5.1394587,4.869278,4.8978267,4.6951594,5.134082
2.7267919,3.332418,2.0571933,2.7365575,2.750737
3.34124,3.3527184,3.5136154,3.2920694,3.463521
2.8777733,6.16407,5.8316584,2.9874127,2.339851
2.3874333,2.6077194,2.5118701,2.4311283,2.503177
2.7103043,2.8152745,3.223436,3.3692894,3.4818141
6.5287466,6.3861322,6.556083,6.6555305,6.555858
3.1417112,3.6311338,2.790921,2.8653889,3.2617435
2.0840738,2.787694,3.45103,2.486903,2.8082302
5.244089,5.1513844,5.1253133,8.358657,5.065798
2.0113688,2.2912114,2.2084491,2.9297464,2.1063104
3.8216941,4.918394,2.5412261,2.9194138,5.2158184
3.9277468,4.135335,4.035411,3.9345515,4.0879145
2.1132061,1.8962955,2.3129284,2.071506,1.9975903
6.573926,6.4069095,6.230425,6.5864143,6.4388084
2.7499352,2.283861,2.4078298,2.3939266,2.0771956
6.910803,6.8410378,6.4655294,6.608628,6.944043
5.19497,2.2755592,5.2298026,2.1025066,5.2813787
3.666278,4.157598,3.5247724,3.5792618,3.6341794
3.4170654,3.155885,4.164469,3.1943274,3.997443
2.14313,2.2220912,2.26683,2.114205,1.9813709
2.0094054,2.8306036,2.0194376,2.843978,2.891614
2.9285152,2.507078,2.5169158,2.5303872,2.612913
2.1824543,1.9332291,1.8577217,2.0510385,3.151934
3.871587,6.4465227,4.010355,6.8028274,6.98517
3.596506,3.7740383,3.6484199,4.4172645,4.032946
5.4839025,4.7102966,4.630107,4.9506536,5.248221
3.1974087,4.1995764,4.169485,3.2003725,3.2502935
2.6462877,3.9373906,3.8000941,2.719086,2.8099182
2.2553685,2.1941075,2.592625,2.3748927,2.346404
2.9748275,2.7891786,3.0053692,2.9322097,3.0694866
1.8407176,2.1551824,7.3404913,2.726032,7.0921836
9.249975,9.6161,9.755707,9.370774,9.43172
6.454937,6.69763,6.386619,6.985882,6.9121733
2.904986,3.2857094,3.6156318,2.419719,3.425858
4.8567667,4.7116814,5.20535,5.28848,4.9242105
2.9350452,3.32739,3.600082,3.8525383,3.35495
5.522776,6.233885,6.076971,6.3188763,5.4082685
3.6232977,3.5821266,4.046533,4.987673,4.1188817
7.171412,4.5143914,4.2335687,4.422082,4.534891
9.266471,9.573501,5.154471,9.481385,9.3379
2.1804945,2.1461651,2.8279665,2.251447,2.2154725
2.7113676,3.1976619,2.6726832,2.81241,3.040254
2.0605133,2.2519217,2.2503083,1.9811075,1.979812
6.214409,5.9472866,6.4048815,6.4257865,6.40664
2.3090339,2.1852872,5.7455606,2.1560607,2.2501647
4.4481926,6.4923167,7.7511888,4.415265,7.4728856
3.589155,3.4290752,3.3509083,3.5893483,3.7236874
2.601852,1.0502247,1.1537669,2.8627977,1.2086673
8.594313,8.571581,8.184854,8.05656,8.293264
6.234991,2.6526423,2.2866697,2.4355974,2.5184734
6.6886992,3.452602,6.3584065,2.6420612,6.6967273
6.7869034,6.644499,6.376173,6.4958057,6.5695667
4.601325,3.1362395,4.537473,4.538127,3.0503533
3.8132095,4.138128,4.016772,4.07153,3.8687782
5.688942,10.197367,6.890116,9.966802,7.214881
3.7733238,4.143723,4.8305326,4.470952,4.279592
4.8693924,8.619626,4.7511044,4.8583612,9.021487
1.94392,2.2262516,3.9290357,2.1354623,2.152746
3.7587357,4.489166,3.518127,3.405003,5.0300207
2.9577873,3.0615015,3.0603466,2.1898873,2.5423295
6.4124045,6.24344,6.2443986,6.042091,6.526768
6.6751504,6.6264763,6.9665847,6.633708,3.252613
2.2505205,2.503316,2.8735769,1.53682,2.4711812
3.0254502,3.4827023,3.6126885,3.5140505,3.8127985
2.0793288,2.0918617,1.8830233,2.057675,1.4026859
6.5290337,6.499658,3.532665,4.9384227,6.582758
7.14553,4.1387553,3.6090605,7.2320976,4.035477
3.2373116,3.1463826,3.4092522,3.1177497,3.573747
4.4638863,4.089799,5.281234,4.148749,5.0233583
